RPM,0,0.06,0.13,0.19,0.25,0.31,0.38,0.44,0.5,0.56,0.63,0.69,0.75,0.81,0.88,0.94,1,1.06,1.13,1.19,1.25
500,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,13.72,13.72,13.72,13.72,13.72,13.72
750,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,13.72,13.72,13.72,13.72,13.72,13.72
1000,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,13.72,13.72,13.72,13.72,13.72,13.72
1500,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,13.9,13.9,13.9,13.9,13.9,13.9
2000,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,13.72,13.72,13.72,13.72,13.72,13.72
2500,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,13.61,13.61,13.44,13.61,13.61,13.61,13.61,13.61,13.61,13.61
3000,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.18,14.18,14.18,13.84,13.32,13.15,13.15,13.15,13.15,13.15,13.15,13.15
3500,14.7,14.7,14.7,14.7,14.7,14.7,14.24,14.24,14.24,14.18,14.01,13.72,13.21,12.81,12.58,12.58,12.58,12.58,12.58,12.58,12.58
4000,14.7,14.7,14.7,14.13,14.13,14.13,14.01,13.9,13.72,13.61,12.92,12.63,12.12,11.37,11.08,11.08,11.08,11.08,11.08,11.08,11.08
4500,14.53,14.53,14.53,14.53,14.24,14.36,14.01,13.38,12.86,12.63,12.4,12.17,12.12,11.31,10.97,10.97,10.97,10.97,10.97,10.97,10.97
5000,13.9,13.9,13.9,13.9,13.9,13.84,13.72,14.7,14.47,14.18,13.84,13.49,13.32,12.69,11.31,10.85,10.85,10.85,10.85,10.85,10.85
5500,13.21,13.21,13.21,13.21,13.44,13.72,13.38,14.36,13.84,13.38,13.32,13.03,12.92,12.4,12.35,10.45,10.45,10.45,10.45,10.45,10.45
6000,13.03,13.03,13.03,13.03,13.03,13.38,13.21,13.67,13.61,13.49,13.21,12.92,12.52,11.89,11.83,11.14,11.03,10.97,10.97,10.97,10.97
6500,12.12,12.12,12.12,12.12,12.12,12.58,12.29,13.38,13.15,12.86,12.69,12.4,12,11.77,11.31,11.31,11.25,11.25,11.25,11.25,11.25
7000,11.48,11.48,11.48,11.48,11.48,12.4,12.29,13.49,13.09,12.92,12.46,11.94,11.6,11.25,11.08,10.85,10.8,10.8,10.8,10.8,10.8
7500,11.2,11.2,11.2,11.2,11.2,12.06,12,13.03,12.75,12.86,11.89,11.83,11.6,10.68,10.85,11.37,10.51,10.51,10.51,10.51,10.51
8000,11.25,11.25,11.25,11.25,11.25,11.71,11.37,12.69,12.92,12.63,12.29,12.06,11.83,11.66,11.6,11.14,11.03,11.03,11.03,11.03,11.03
8500,10.74,10.74,10.74,10.74,10.74,11.6,12.29,13.44,13.67,13.38,13.32,13.09,12.69,12.52,12,10.57,10.57,10.57,10.57,10.57,10.57
9000,10.74,10.74,10.74,10.74,10.74,11.6,12.29,13.44,13.67,13.38,13.32,13.09,12.69,12.52,12,10.57,10.57,10.57,10.57,10.57,10.57
